"","WB_1","WB_2","WB_3","WB_4","WB_5","WB_6","PBMC_1","PBMC_2","PBMC_3","PBMC_4","PBMC_5","PBMC_6","Gran_1","Gran_2","Gran_3","Gran_4","Gran_5","Gran_6","CD4+_1","CD4+_2","CD4+_3","CD4+_4","CD4+_5","CD4+_6","CD8+_1","CD8+_2","CD8+_3","CD8+_4","CD8+_5","CD8+_6","CD14+_1","CD14+_2","CD14+_3","CD14+_4","CD14+_5","CD14+_6","CD19+_1","CD19+_2","CD19+_3","CD19+_4","CD19+_5","CD19+_6","CD56+_1","CD56+_2","CD56+_3","CD56+_4","CD56+_5","CD56+_6","Neu_1","Neu_2","Neu_3","Neu_4","Neu_5","Neu_6","Eos_1","Eos_2","Eos_3","Eos_4","Eos_5","Eos_6"
"cg02665297",0.93612416,0.8860339,0.9168307,0.88551329,0.94050085,0.90253996,0.86749016,0.83869304,0.89828649,0.81396105,0.84459737,0.81801786,0.98241332,0.97052327,0.97325487,0.97653011,0.98171213,0.96202658,0.96023837,0.96337661,0.9594548,0.97430441,0.98564585,0.97856132,0.97940758,0.96511029,0.96656674,0.97020168,0.97000053,0.96165743,0.9529273,0.9752592,0.96471749,0.9575065,0.97541466,0.96182614,0.06728281,0.03825687,0.12043966,0.05622299,0.11060877,0.08614949,0.97174985,0.97593222,0.95882841,0.92401024,0.93533336,0.9756424,0.98706609,0.97501221,0.97771117,0.98379986,0.94343035,0.96383033,0.96457377,0.97606477,0.9730219,0.97025216,0.98450619,0.98341251
"cg04828493",0.93918656,0.93493299,0.95782934,0.92417092,0.94320426,0.940634,0.93806804,0.8887934,0.91509517,0.85818088,0.90844724,0.90185663,0.97646093,0.98701945,0.98995803,0.96890922,0.99061703,0.99119666,0.98254334,0.97672476,0.98824229,0.94271177,0.94540463,0.98553227,0.97112768,0.93447986,0.99193758,0.95888753,0.96159035,0.95917547,0.91921628,0.89258077,0.92211487,0.87605333,0.85081808,0.89380255,0.06155651,0.0642851,0.10820226,0.07080702,0.06000879,0.10066072,0.9489309,0.76499704,0.97273651,0.89151843,0.87670723,0.88955595,0.96605548,0.98510329,0.99038457,0.98440777,0.99028942,0.96825718,0.97182123,0.97752997,0.99169031,0.96940901,0.9864529,0.98878659
"cg25131632",0.87494097,0.89847128,0.90677314,0.84421331,0.95914577,0.89157307,0.88361071,0.87499121,0.89354872,0.80160217,0.85858263,0.82520735,0.94921788,0.97909066,0.95228582,0.96892802,0.95566641,0.97071956,0.91425369,0.93186147,0.95740099,0.91493981,0.93213059,0.96467925,0.82349786,0.84795777,0.89734816,0.89305119,0.94999638,0.90996872,0.94875088,0.96003845,0.97388043,0.93112194,0.95932075,0.95820579,0.0636191,0.05369993,0.13044059,0.06119244,0.05617259,0.06714596,0.8243108,0.84685183,0.87673173,0.86138096,0.91907632,0.953712,0.96734716,0.96255243,0.9601657,0.96554451,0.9414892,0.95428881,0.96341048,0.94423788,0.95961464,0.98137309,0.96392033,0.97475646
"cg01024458",0.89215305,0.92672286,0.92154529,0.86076007,0.93439694,0.92732154,0.88567518,0.8533043,0.9313644,0.79831247,0.88919733,0.85071862,0.95727841,0.94691197,0.96620504,0.95908376,0.93648123,0.95520015,0.91679177,0.90051534,0.9224073,0.85669361,0.91734099,0.91863568,0.85742621,0.88548831,0.90551883,0.89249347,0.91093608,0.86762521,0.9316461,0.96934632,0.95410336,0.90420784,0.93363991,0.94728169,0.08677131,0.05659464,0.12509163,0.06019097,0.08554499,0.10167079,0.8507447,0.89065736,0.88159263,0.89466889,0.91016642,0.91063209,0.9511672,0.94996512,0.94949985,0.96501775,0.93435678,0.9538053,0.94232897,0.92496465,0.95615374,0.94327207,0.96936901,0.94856383
"cg07721872",0.9029952,0.87823438,0.91665894,0.89378007,0.91235565,0.90177964,0.90393211,0.88053398,0.94054456,0.81844661,0.85785221,0.8911729,0.94681405,0.94131954,0.93556868,0.91816886,0.94556262,0.94369412,0.92757187,0.91422731,0.95035377,0.92817671,0.91781931,0.94639937,0.90908473,0.93913027,0.91950973,0.93282073,0.93883473,0.9397819,0.91032634,0.92583152,0.9388548,0.92681103,0.93652331,0.93436777,0.09839522,0.05031097,0.20096872,0.06545727,0.09703207,0.11598125,0.94665912,0.92323125,0.93340674,0.90795953,0.91724597,0.95242954,0.93620551,0.93947004,0.95577288,0.96258165,0.92989076,0.94833134,0.95321163,0.94986295,0.96028131,0.95074147,0.95380962,0.95859806
"cg19276014",0.95850377,0.92936816,0.96916043,0.93520107,0.96707433,0.92860507,0.94879772,0.91235451,0.94168667,0.84549593,0.89597194,0.89248383,0.99288359,0.99279914,0.99081745,0.9817688,0.99366521,0.99276141,0.99289704,0.98617778,0.98812944,0.97833891,0.98844388,0.99282646,0.98478987,0.97703893,0.99114682,0.98764398,0.99242902,0.98083385,0.98782048,0.99284422,0.980808,0.97241884,0.97189491,0.9798971,0.09582891,0.13511641,0.14425337,0.24048904,0.09389807,0.20007875,0.98591097,0.98128312,0.98819422,0.96523522,0.95209483,0.98572651,0.98479785,0.97932349,0.99300379,0.99209554,0.97306662,0.98026192,0.99180616,0.98244323,0.99247019,0.988627,0.98864766,0.99139559
"cg21596498",0.90084226,0.88950879,0.9263439,0.88711644,0.92036107,0.89043196,0.88958925,0.88840066,0.91897461,0.82309806,0.87628957,0.86097565,0.92017782,0.94280625,0.9180209,0.90938173,0.91161086,0.91584012,0.9477329,0.95021139,0.94371225,0.9244629,0.94582786,0.93748197,0.94767606,0.94300149,0.92265493,0.93566085,0.94416425,0.95612692,0.92700077,0.92381866,0.93744788,0.91037559,0.92901317,0.92856137,0.08516443,0.10003873,0.15611835,0.09582981,0.12167761,0.1420436,0.93806098,0.91974747,0.94090455,0.89178777,0.90895054,0.93013112,0.98678798,0.89737932,0.90862502,0.91494736,0.90614254,0.91919426,0.93390824,0.9213683,0.92858711,0.92658511,0.92982418,0.93742261
"cg14936008",0.90003192,0.89792729,0.91739533,0.92629904,0.91195908,0.89384823,0.9088088,0.87029677,0.92144684,0.79726652,0.88594401,0.88173877,0.91419261,0.93678887,0.92818665,0.9266089,0.91752074,0.92384225,0.95258882,0.91703898,0.94432336,0.92948876,0.93051057,0.87952099,0.92892234,0.93256165,0.93242797,0.93487164,0.91042818,0.92624443,0.92349763,0.94255066,0.92598155,0.89713569,0.92513254,0.91282495,0.11833214,0.10862536,0.16650415,0.09073042,0.12272039,0.11825859,0.90190354,0.88532176,0.93180223,0.90951637,0.90087661,0.95832123,0.91927044,0.92069855,0.93282398,0.94706023,0.92519236,0.93171609,0.92016728,0.93733488,0.92298957,0.9238571,0.95555907,0.94408709
"cg11661493",0.87584591,0.86701382,0.85147739,0.85060999,0.8430618,0.83977881,0.88983744,0.8125324,0.85105086,0.81336046,0.80474093,0.8409412,0.90163888,0.91389626,0.90936438,0.87415933,0.89298972,0.87350569,0.91500789,0.90097345,0.91739117,0.92354724,0.89602107,0.90120211,0.91123754,0.89822186,0.89582453,0.88643939,0.89501572,0.89003811,0.87732359,0.89692308,0.92078694,0.89468733,0.88102469,0.89142172,0.07873067,0.07792732,0.14256698,0.05786502,0.07469178,0.10959846,0.86732799,0.88272174,0.87310101,0.89249491,0.85830601,0.90195026,0.89841759,0.88694904,0.89160665,0.91686664,0.87207519,0.91845938,0.8856152,0.86948954,0.89839814,0.90405893,0.91097275,0.91150454
"cg05205074",0.85035885,0.87644595,0.8899188,0.81705545,0.9012995,0.88833743,0.83444744,0.82541527,0.86978573,0.76424561,0.83534533,0.80004747,0.90001749,0.93857996,0.94342592,0.92884906,0.9051711,0.93133917,0.89502443,0.89459014,0.91381819,0.88657581,0.90130008,0.9160746,0.8550592,0.90212482,0.89359606,0.88725334,0.90884439,0.89956889,0.89445788,0.92254571,0.90533623,0.89768459,0.90064229,0.91539536,0.10737851,0.05497409,0.16477588,0.08302536,0.0883614,0.11057917,0.8551951,0.86585772,0.89250412,0.87323465,0.86855523,0.92096788,0.90785065,0.928736,0.91243653,0.93728577,0.92218612,0.92772871,0.92949245,0.94090061,0.93792853,0.92801057,0.93784547,0.9301244
